停留所コード,停留所名,緯度,経度
1,神明駅,35.972846,136.181591
2,ふくしん神明支店前（三六町２丁目）（南）,35.972749,136.179442
3,三六連隊跡神明　神明公民館（東）,35.970768,136.178726
5,三六連隊跡神明　神明公民館（西）,35.970837,136.178589
6,糺町,35.977779,136.175659
7,杉本,35.978962,136.174591
8,近松の里たちまち　 立待公民館,35.982731,136.172928
9,吉江七曲り通り前,35.987221,136.17038
10,JA鯖江北支店（下杉本）,35.984108,136.168579
11,サンリーブ前（上杉本）,35.981773,136.166824
12,石田上（東）,35.978498,136.159964
13,石田中（東）,35.97383,136.158816
14,小泉,35.968365,136.157791
15,大倉,35.965446,136.157547
16,吉川なす発祥の地吉川　吉川公民館,35.962898,136.157623
17,吉田,35.95982,136.157867
18,二丁掛,35.953186,136.157288
19,下氏家町集落センター,35.946129,136.154831
20,花と緑のまち豊　豊公民館,35.945745,136.151966
21,当田町公民館,35.947819,136.163574
22,熊田（北）,35.948452,136.166473
23,嚮陽会館（北）,35.947186,136.179916
24,西鯖江駅前（北）,35.946896,136.182724
25,市民ホールつつじ前（本山前）（北）,35.946499,136.18454
26,本町２丁目（東）,35.945782,136.185379
27,本町1丁目（東）,35.944393,136.185287
28,JR鯖江駅（２番のりば）,35.943451,136.187912
29,柳町１丁目（北）,35.94648,136.190048
30,柳町３丁目（北）,35.946571,136.191895
31,体育館西（東）,35.944312,136.196507
32,めがね会館,35.942931,136.197885
33,体育館北（南）,35.946616,136.198607
34,Ａコープ東さばえ店前（東鯖江４丁目）,35.948985,136.198229
35,上河端口,35.9534,136.200607
36,上河端,35.954453,136.202576
37,曲木,35.954773,136.20639
38,神明苑,35.972328,136.182953
40,アル・プラザ鯖江,35.968698,136.18919
43,ＪＲ北鯖江駅西口,35.971585,136.197687
44,下河端西,35.967285,136.19873
45,下河端南,35.965073,136.201569
46,高年大学前,35.964607,136.207947
47,舟枝,35.963261,136.208969
48,桜あふれるまち中河　中河小学校前（北）,35.954792,136.209076
49,樋口（北）,35.953362,136.210724
50,中野町松成,35.955521,136.221268
51,松成,35.956814,136.224213
52,落井口,35.95422,136.229874
53,今北山古墳群,35.957835,136.229889
54,乙坂今北,35.961852,136.229948
55,大野,35.97316,136.232544
56,文殊山の里片上　片上公民館,35.973378,136.231584
57,あじさいのまち北中山　北中山公民館（北）,35.952278,136.238166
58,磯部口（北）,35.952354,136.241089
59,戸口,35.952362,136.246353
60,別司口,35.949047,136.257309
61,別司,35.948803,136.259628
62,河和田口,35.948715,136.267838
63,河和田,35.949532,136.269836
64,莇生田口（北）,35.948151,136.271927
65,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,35.951012,136.274445
66,うるしの里会館,35.953178,136.274216
67,河和田小学校前（北）,35.953854,136.277969
68,金谷口（北）,35.954277,136.282043
69,北中（北）,35.954308,136.284439
70,寺中,35.954597,136.289703
71,尾花,35.952206,136.294693
72,ラポーゼかわだ（南）,35.948242,136.301361
73,ラポーゼかわだ（北）,35.948772,136.301361
74,北中（南）,35.954227,136.284424
75,金谷口（南）,35.954151,136.281921
76,河和田小学校前（南）,35.953754,136.278046
77,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（西）,35.950996,136.274307
78,莇生田口（南）,35.948009,136.271896
79,磯部口（南）,35.952263,136.240509
80,あじさいのまち北中山　北中山公民館（南）,35.952175,136.2382
81,樋口（南）,35.953266,136.210678
